Category ID	Category Name	Number	Name	Year Released	Weight (in Grams)	Dimensions
252	Game / BIONICLE	4151849	BIONICLE Quest for the Masks: Trading Card Game - 3: Onua & Lewa	2001	242	? x ? x ?
252	Game / BIONICLE	18636	BIONICLE Quest for the Masks: Trading Card Game - First Edition, Booster Pack	2001	?	? x ? x ?
517	Watch	4366	Watch Set, Time Cruiser	2000	196	6.3 x 27.6 x 3.1
517	Watch	4367-GEAR	Watch Set, Star Pilot	2000	132	7 x 27.8 x 3.4
517	Watch	4368-GEAR	Watch Set, Team Spirit	2000	158	7 x 28 x 3.3
517	Watch	4370	Watch Set, Grinder	2000	182	6.5 x 27.6 x 3.5
517	Watch	4371	Watch Set, Y-10	2000	?	? x ? x ?
517	Watch	4376	Watch Set, X-10	2000	?	? x ? x ?
517	Watch	4373	Watch Set, Dreamstar	2000	119	27.5 x 6.5 x 3
517	Watch	4389	Watch Set, Yin	2000	130	7 x 27.5 x 3.5
334	Key Chain / Time Cruisers / Twisters	KC138	Timmy Key Chain	?	10	? x ? x ?
334	Key Chain / Space / Insectoids	3950	Insectoids Figure Key Chain	1998	10.55	? x ? x ?
334	Key Chain / Castle / Dragon Knights	9404	Majisto the Wizard / Magic Wizard Key Chain	1998	11	3 x 5.5 x 3
334	Key Chain / Space / Ice Planet 2002	9405	Ice Planet Key Chain	1993	10.5	? x ? x ?
334	Key Chain / Town / City / Police	9406	Police Officer Key Chain, Gold Badge and Blue Tie	?	8	? x ? x ?
334	Key Chain / Space / Spyrius	9408	Spyrius Key Chain	?	10	? x ? x ?
334	Key Chain / Pirates / Pirates I / Islanders	9409	Islander Key Chain	1994	11	? x ? x ?
334	Key Chain / Space / Exploriens	9410	Explorien Key Chain	?	11	? x ? x ?
503	Poster / Castle	p93usca	Castle Poster 1993 (114517/114617-US)	1993	25	40.6 x 53.8 x 0
252	Game / BIONICLE	QFTM-RC	BIONICLE Quest for the Masks: Trading Card Game - Rahi Challenge Booster Pack	2001	?	? x ? x ?
252	Game / BIONICLE	qftm0001	BIONICLE Quest for the Masks: Trading Card Game - First Edition, Deck 1	2001	233	? x ? x ?
513	Media Audio & Video / 4 Juniors / Jack Stone	3901	Video Tape - Jack Stone	2001	132	10.4 x 19.1 x 2.5
543	Clothing, Adult / Castle / Royal Knights	1126-GEAR	T-Shirt, Royal Knights	?	?	? x ? x ?
517	Watch	4375-GEAR	Watch Set, Gel-i	2000	176	28 x 7.5 x 3.5
334	Key Chain / LEGOLAND Parks	3977	Legoland Ambassador Key Chain - Twisted Metal Chain with LEGO logo on back	?	9.9	? x ? x ?
334	Key Chain / Ninja	3912	Red Ninja Key Chain	1999	10	? x ? x ?
