Category ID	Category Name	Number	Name	Year Released	Weight (in Grams)	Dimensions
766	Activity Book / Star Wars	b16sw08sr	Star Wars - Ojačani Silom (Serbian Edition)	2016	175	21.6 x 28 x 2
766	Activity Book / Super Heroes / The LEGO Batman Movie	b17tlbm01sr	The LEGO Batman Movie - Хаос у готам ситију (Softcover) (Serbian Edition)	2016	175	20.5 x 29 x 2
766	Activity Book / Super Heroes / The LEGO Batman Movie	b17tlbm02sr	The LEGO Batman Movie - Welcome to Gotham City! (Serbian Edition)	2016	175	20.5 x 29 x 2
766	Activity Book / Super Heroes / Batman II	b16sh02sr	DC Comics Super Heroes - Stiže mračni vitez (Softcover) (Serbian Edition)	2016	175	20.6 x 28.8 x 2
766	Activity Book / Super Heroes	b16sh01sr	DC Comics Super Heroes - Svemirska liga! (Softcover) (Serbian Edition)	2016	175	22.8 x 28.8 x 2
317	Idea Book	5006978	Masters' Book of Secrets	2021	229	19.5 x 25.5 x 0.5
317	Idea Book	5006807-EN.UK	Cute Ideas (Hardcover) - English Edition (UK)	2020	371	15.5 x 21.5 x 27
317	Idea Book	5006807-DE	Megasüße Ideen (Hardcover) - German Edition	2020	?	? x ? x ?
1084	Magazine, Jurassic World	mag2022jw01nl	Jurassic World Magazine 2022 Issue 1 (Dutch)	2022	154	22.8 x 30 x 2
766	Activity Book / Harry Potter	b20hp15de	Harry Potter - Rätselspass für Mutige Magier (German Edition)	2020	?	? x ? x ?
766	Activity Book / Harry Potter	b20hp02de	Harry Potter - Rätselspass für Zauberschüler (German Edition)	2020	?	? x ? x ?
766	Activity Book / Harry Potter	b21hp03de	Harry Potter - Rätselspass für Clevere Zauberer (Softcover) (German Edition)	2021	?	? x ? x ?
766	Activity Book / Star Wars	b18sw04cz	Star Wars - Galaktické střety (Softcover) (Czech Edition)	2018	?	? x ? x ?
332	Informational Book / NEXO KNIGHTS	9780545905862	NEXO KNIGHTS - NEXO KNIGHTS Handbook	2016	125	15 x 22.5 x 0.3
1024	Magazine, NINJAGO	mag2022njo85de	NINJAGO Magazine 2022 Issue 85 (German)	2022	?	21 x 28 x 0.13
1063	Magazine, Super Heroes / Avengers	mag2022shav01nl	Avengers Magazine 2022 Issue 1 (Dutch)	2022	101	21 x 28 x 0.13
332	Informational Book	9781452182292	The Secrets of LEGO House	2021	1134	28.9 x 23.4 x 2.4
766	Activity Book / Harry Potter	b21hp04	Harry Potter - Let's Play Quidditch	2021	156	21.59 x 27.94 x 1.9
766	Activity Book / Harry Potter	b21hp02	Harry Potter - Magical Adventures At Hogwarts	2021	156	21.59 x 27.94 x 1.9
332	Informational Book / Super Heroes	b18sh04	DC Super Heroes - Collection (Box Set)	2018	2342	21.5 x 24 x 9
766	Activity Book / LEGENDS OF CHIMA	b14chi06	LEGENDS OF CHIMA - Build An Adventure: The Quest for Chi (Softcover)	2014	422	23 x 27.7 x 0.8
1024	Magazine, NINJAGO / Legacy	mag2022njol01nl	NINJAGO Legacy Magazine 2022 Issue 1 (Dutch)	2022	149	22.8 x 29.7 x 0.13
766	Activity Book / Star Wars	b16sw01uk	Star Wars - Space Adventures (Softcover) (English - UK Edition)	2016	159	20.6 x 29 x 1
766	Activity Book / NINJAGO	b19njo04uk	NINJAGO - Way of the Ninja (Softcover) (English - UK Edition)	2019	120	20.3 x 28.5 x 2.8
766	Activity Book / NEXO KNIGHTS	b19nex01uk	NEXO KNIGHTS - Digital Duel (Softcover) (English - UK Edition)	2019	120	20.3 x 28.5 x 2.8
766	Activity Book / Super Heroes	b16sh01uk	DC Comics Super Heroes - The Otherworldly League (Softcover) (English - UK Version)	2016	171	20.6 x 28.8 x 1.5
331	Comic Book / Racers	4193889	Racers Official Guide and Comic Book - Offizielles Racing-Programm 4 (419.3889-DE)	2002	?	15 x 21 x 0.1
576	Curriculum Activity Book / Educational & Dacta / DUPLO	4226800a	Set 9040 Activity Card 1	2004	?	21 x 30 x 0
576	Curriculum Activity Book / Educational & Dacta / DUPLO	4226800b	Set 9040 Activity Card 2	2004	?	21 x 30 x 0
576	Curriculum Activity Book / Educational & Dacta / DUPLO	4226801	Set 9040 Map - Multiple Languages	2004	?	23 x 30.5 x 0
576	Curriculum Activity Book / Educational & Dacta / DUPLO	9040DE	Set 9040 Learning Games Teacher's Guide (Lernspiele / Lehrerhandbuch) - German Version	2004	?	? x ? x ?
576	Curriculum Activity Book / Educational & Dacta / DUPLO	9040EN	Set 9040 Learning Games Teacher's Guide - English Version	2004	?	? x ? x ?
576	Curriculum Activity Book / Educational & Dacta / DUPLO	9040FR	Set 9040 Learning Games Teacher's Guide (Ensemble de jeux pédagogiques / Guide de l'enseignant) - French Version	2004	?	? x ? x ?
576	Curriculum Activity Book / Educational & Dacta / DUPLO	9040IT	Set 9040 Learning Games Teacher's Guide (Set Giochi didattici / Guida per l'insegnante) - Italian Version	2004	?	? x ? x ?
576	Curriculum Activity Book / Educational & Dacta / DUPLO	9040KO	Set 9040 Learning Games Teacher's Guide - Korean Version	2004	?	? x ? x ?
576	Curriculum Activity Book / Educational & Dacta / DUPLO	9040ES	Set 9040 Learning Games Teacher's Guide (Juegos de Aprendizaje / Guía del Profesor) - Spanish Version	2004	?	? x ? x ?
576	Curriculum Activity Book / Educational & Dacta / DUPLO	9040JA	Set 9040 Learning Games Teacher's Guide - Japanese Version	2004	?	? x ? x ?
576	Curriculum Activity Book / Educational & Dacta / DUPLO	9040ZH	Set 9040 Learning Games Teacher's Guide - Chinese Version	2004	?	? x ? x ?
1063	Magazine, Super Heroes / Batman II	mag2022shba01nl	Batman Magazine 2022 Issue 1 (Dutch)	2022	118	21 x 28 x 2
1022	Magazine, Friends	mag2022frnd02nl	Friends Magazine 2022 Issue 2 (Dutch)	2022	104	21 x 28 x 1
1024	Magazine, NINJAGO	mag2022njo02nl	NINJAGO Magazine 2022 Issue 2 (Dutch)	2022	103	21 x 28 x 1
1021	Magazine, City	mag2022cty02nl	City Magazine 2022 Issue 2 (Dutch)	2022	109	21 x 28 x 0.13
1084	Magazine, Jurassic World	mag2022jw02nl	Jurassic World Magazine 2022 Issue 2 (Dutch)	2022	119	22.8 x 30 x 2
1165	Magazine, Minecraft	mag2022min01nl	Minecraft Magazine 2022 Issue 1 (Dutch)	2022	85	21 x 28 x 0.13
1063	Magazine, Super Heroes / Avengers	mag2022shav10de	Avengers Magazine 2022 Issue 10 (German)	2022	81	21 x 28 x 0.13
