Category ID	Category Name	Number	Name	Year Released	Weight (in Grams)	Dimensions
167	DUPLO / Action Wheelers	2904-1	Cycle Cruiser	2000	?	? x ? x ?
167	DUPLO / Action Wheelers	2909-1	Helicopter	2000	206	33 x 23.5 x 7
167	DUPLO / Action Wheelers	2913-1	Tread Trackers	2000	?	? x ? x ?
167	DUPLO / Action Wheelers	2914-1	Rescue Base	2000	?	? x ? x ?
167	DUPLO / Action Wheelers	2916-1	MyBot	2000	?	47.5 x 28.8 x 9.4
167	DUPLO / Action Wheelers	2946-1	MyBot Accessory Pack / MyBot Expansion Kit	2001	?	28.5 x 19 x 6
167	DUPLO / Action Wheelers	2947-1	Speedbike	2001	?	? x ? x ?
167	DUPLO / Action Wheelers	2949-1	RC Dozer	2001	?	42.5 x 28.5 x 7
174	Studios	1351-1	Movie Backdrop Studio	2001	262	48 x 28.5 x 6
174	Studios	1352-1	Explosion Studio	2000	122	33.3 x 23.8 x 4.7
174	Studios	1353-1	Car Stunt Studio	2001	?	28.5 x 19 x 7
174	Studios	1354-1	Dino Head Attack	2000	39	19 x 14 x 6
174	Studios	1355-1	Temple of Gloom	2000	31	19 x 9.5 x 6
174	Studios	1356-1	Stuntman Catapult	2001	16.8	9.5 x 9.5 x 4.5
174	Studios	1357-1	Cameraman	2001	14.13	9.5 x 7 x 4.5
174	Studios	1360-1	Director's Copter	2001	?	9.5 x 14 x 3.5
174	Studios	1361-1	Camera Car	2001	?	9.5 x 14 x 3.5
174	Studios	1362-1	Air Boat	2001	?	9.5 x 14 x 3.5
174	Studios	1363-1	Stunt Go-Cart	2001	16.4	9.5 x 14 x 3.5
422	Universal Building Set / Classic Basic	2032-1	Helicopter polybag	1999	?	17.5 x 17.5 x 2
422	Universal Building Set / Classic Basic	2069-1	Boat polybag	1999	1.84	17.3 x 16.5 x 1.7
422	Universal Building Set / Classic Basic	2075-1	Prop Plane polybag	1999	1.88	17.2 x 16.7 x 1.5
422	Universal Building Set / Classic Basic	1995-1	Racer polybag	1999	?	17 x 17 x 1.5
422	Universal Building Set / Classic Basic	2045-1	Car polybag	1999	1.82	17.5 x 16.5 x 1.5
422	Universal Building Set / Classic Basic	2047-1	Plane polybag	1999	1.78	17 x 16.5 x 1.5
422	Universal Building Set / Classic Basic	1841-1	Plane polybag	1999	?	17.5 x 17.5 x 2
422	Universal Building Set / Classic Basic	2025-1	Boat polybag	1999	1.78	17.2 x 16.2 x 1.7
390	Holiday & Event / Christmas	2878-1	Santa Claus polybag	1997	0.52	? x ? x ?
9	Castle / Knights Kingdom I	4819-1	Rebel Chariot	2000	?	14.2 x 14.2 x 3.7
9	Castle / Knights Kingdom I	4816-1	Knight's Catapult	2000	?	14.3 x 14.3 x 3.8
9	Castle / Knights Kingdom I	4817-1	Dungeon	2000	26.15	14.3 x 14.3 x 3.8
9	Castle / Knights Kingdom I	4818-1	Dragon Rider	2000	?	14.3 x 14.3 x 3.8
63	Service Packs	5078-1	Crane Accessories	1993	?	? x ? x ?
67	Town / Classic Town / Traffic	2584-1	Biker Bob	1998	13	9.4 x 7.2 x 4.6
67	Town / Classic Town / Traffic	1589-1	Town Square	1978	247	38 x 28 x 5
34	Space / Life on Mars	78777-1	Alien Discovery	2001	?	? x ? x ?
78	FreeStyle	1837-1	FreeStyle Duck	1995	?	9.6 x 7.1 x 4.7
78	FreeStyle	1838-1	FreeStyle Bird	1995	?	9.6 x 7.1 x 4.7
78	FreeStyle	1839-1	FreeStyle Fish	1995	?	9.4 x 7.1 x 4.5
78	FreeStyle	2186-1	Seaplane	1997	?	? x ? x ?
78	FreeStyle	2187-1	Racer	1997	?	9.5 x 4.7 x 14.2
78	FreeStyle	2188-1	Speedboat	1997	?	9.5 x 4.7 x 14.2
390	Holiday & Event / Halloween	3047-1	Halloween Bucket	1998	?	? x ? x ?
78	FreeStyle	3226-1	Cars and Planes	1998	?	28.3 x 23.8 x 9.5
78	FreeStyle	3888-1	Three Eights	1998	?	? x ? x ?
