Category ID	Category Name	Number	Name	Alternate Item Number	Weight (in Grams)	Dimensions
524	DUPLO, Toolo	85353c02pb01	Duplo, Toolo Car Chassis Assembly with Blue Body and White Interior		141.7	12 x 6 x 2.5
488	DUPLO, Vehicle	85355pb02	Duplo Car Hood 3 x 4 with Two White Stripes Pattern		5	3 x 4 x 0
440	DUPLO, Brick, Decorated	4066pb371	Duplo, Brick 1 x 2 x 2 with Keypad, Card Slot, '52.00' and '34.50' on Silver Background Pattern		8	1 x 2 x 2
461	Panel, Decorated	4215apb05	Panel 1 x 4 x 3 - Solid Studs with Small Box and Arrows Pattern (Sticker) - Set 6377		2.3	1 x 4 x 3
488	DUPLO, Vehicle	89198c01	Duplo Camper Trailer with Bright Green Interior and Dark Bluish Gray Base		237	13 x 5.5 x 5
167	DUPLO	89809	Duplo Crane Arm with Locking Clip		13.5	7 x 1.5 x 1
488	DUPLO, Vehicle	89389c01	Duplo Crane Bucket (Jaws, Spring and Dark Bluish Gray Top)		20	3.5 x 3 x 6
488	DUPLO, Vehicle	89862	Duplo Front End Loader Bucket - 9 Teeth		20	4 x 6 x 2
488	DUPLO, Vehicle	89845c01	Duplo Front End Loader Body		195	12 x 6 x 5.5
777	Technic, Liftarm, Decorated	6629pb003	Technic, Liftarm, Modified Bent Thick 1 x 9 (6 - 4) with Dots and Vents Pattern (Sticker) - Set 8222		2.6	? x ? x ?
642	Door, Decorated	4182pb026	Door 1 x 4 x 5 Train Right, Thin Support at Bottom with Dutch NS '7722' Pattern (Sticker) - Set 7722		3	1 x 4 x 5
642	Door, Decorated	4181pb026	Door 1 x 4 x 5 Train Left, Thin Support at Bottom with Dutch NS '7722' Pattern (Sticker) - Set 7722		3	1 x 4 x 5
147	Animal, Land	wampa	Wampa		31.33	? x ? x ?
36	Technic	2717pb07	Technic Seat 3 x 2 Base with Cushions and Seat Belts with Yellow Buckles Pattern (Sticker) - Sets 8445 / 8446		2.9	? x ? x ?
135	Technic, Brick	2991b	Technic, Brick 1 x 2 - 1 x 2 Angled with Bumper Holder, Open Front		2.2	? x ? x ?
473	Sports	43085pb04	Sports Arena Section / Skateboard Ramp with X-Park, Island Xtreme Stunts Logo, and Crazy Stunt Pattern (Stickers) - Set 6738		23	12 x 8 x 6
488	DUPLO, Vehicle	58629pb02	Duplo Cement Mixer Bucket with Red Stripes Pattern		36	? x ? x ?
1048	Road Sign, Decorated	30258pb017	Road Sign 2 x 2 Square with Clip with 'BATS' Pattern (Sticker) - Set 7787		0.48	2 x 2 x 0
124	Train	91968c01	Train Buffer Beam with Sealed Magnets - Type 2 (flat open bottom)	91994	5.8	4.5 x 6 x 1.66
124	Train	92339	Train Base 6 x 28 with 3 Round Holes Each End and 2 x 2 Cutouts		22	6 x 28 x 0.67
121	Electric, Motor	48064screwp	Electric, Motor with Boat Propeller - Plastic Locking Screw		0.6	? x ? x ?
39	Tile, Decorated	6636pb026	Tile 1 x 6 with Black 'HD 7633' on White Background Pattern (Sticker) - Set 7633		0.74	1 x 6 x 0
39	Tile, Decorated	3069pb0129	Tile 1 x 2 with Black 'HD 7633' on White Background Pattern (Sticker) - Set 7633	3069bpb0129	0.26	1 x 2 x 0
579	Windscreen, Decorated	87606pb01	Windscreen 6 x 6 x 2 Canopy with SW General Grievous' Starfighter Pattern		5.9	6 x 6 x 2
1048	Road Sign, Decorated	30261pb011	Road Sign 2 x 2 Round with Clip with Black 'BRAKE' Pattern (Sticker) - Set 8672		0.4	2 x 2 x 0
39	Tile, Decorated	3068pb0322	Tile 2 x 2 with New Vodafone, Bridgestone and Shell Logos Pattern (Sticker) - Sets 8672 / 8673	3068bpb0322	0.45	2 x 2 x 0
39	Tile, Decorated	3068pb0323	Tile 2 x 2 with Ferrari Logo and 'P1 WORLD NUMBER 1' Pattern (Sticker) - Set 8672	3068bpb0323	0.45	2 x 2 x 0
39	Tile, Decorated	3068pb0324	Tile 2 x 2 with Multicolor Rectangles and Circles on Screen (Race Position) Pattern (Sticker) - Set 8672	3068bpb0324	0.45	2 x 2 x 0
39	Tile, Decorated	3068pb0325	Tile 2 x 2 with Race Car and '1/ 01:30:54' on Screen Pattern (Sticker) - Set 8672	3068bpb0325	0.45	2 x 2 x 0
39	Tile, Decorated	3068pb0326	Tile 2 x 2 with Race Car and '2/ 01:29:19' on Screen Pattern (Sticker) - Set 8672	3068bpb0326	0.45	2 x 2 x 0
39	Tile, Decorated	3068pb0327	Tile 2 x 2 with Multicolor Graphs on Screen Pattern (Sticker) - Set 8672	3068bpb0327	0.45	2 x 2 x 0
643	Container, Decorated	4533pb009L	Container, Cupboard 2 x 3 x 2 Door with Checkered Flag and Ferrari Logo Pattern Left (Sticker) - Sets 8654 / 8672		0.43	? x ? x ?
643	Container, Decorated	4533pb009R	Container, Cupboard 2 x 3 x 2 Door with Checkered Flag and Ferrari Logo Pattern Right (Sticker) - Sets 8185 / 8654 / 8672		0.43	? x ? x ?
