Color ID	Color Name	RGB	Type	Parts	In Sets	Wanted	For Sale	Year From	Year To
115	Pearl Gold	E79E1D	Pearl	1420	3338	3200	1564	2001	2026
253	Pearl Green	13A452	Pearl	3	7	163	5	2003	2006
61	Pearl Light Gold	E7AE5A	Pearl	13	7	439	76	2000	2005
66	Pearl Light Gray	ACB7C0	Pearl	505	766	1532	665	2000	2011
252	Pearl Red	E54952	Pearl	3	7	136	3	2003	2006
78	Pearl Sand Blue	868FAA	Pearl	44	23	311	46	2002	2005
243	Pearl Sand Purple	B5A1BA	Pearl	1	1	37		2000	2000
119	Pearl Very Light Gray	D4D2CD	Pearl	21	18	542	46	2002	2005
83	Pearl White	FFFFFF	Pearl	3	7	464	16	2003	2006
249	Reddish Copper	D06926	Pearl	21	20	126	23	2017	2020
235	Reddish Gold	E7891B	Pearl	28	31	279	29	2003	2006
233	Satin Trans-Bright Green	7fe15b	Satin	13	22	145	14	2021	2026
229	Satin Trans-Brown	939484	Satin	7	12	137	8	2020	2023
228	Satin Trans-Clear	EEEEEE	Satin	39	154	223	43	2020	2026
232	Satin Trans-Dark Blue	1552e2	Satin	16	43	210	20	2021	2026
224	Satin Trans-Dark Pink	CE1d9b	Satin	24	70	157	24	2020	2026
223	Satin Trans-Light Blue	68BCC5	Satin	68	194	258	78	2020	2026
230	Satin Trans-Purple	8320B7	Satin	24	80	175	26	2020	2026
170	Satin Trans-Yellow	EBF72D	Satin	5	12	53	7	2024	2026
250	Metallic Copper	C58259	Metallic	6	14	324	10	2007	2012
65	Metallic Gold	B8860B	Metallic	134	380	1411	247	1997	2026
70	Metallic Green	bdb573	Metallic	31	11	445	38	2001	2005
67	Metallic Silver	C0C0C0	Metallic	226	846	2101	296	1957	2026
46	Glow In Dark Opaque	d4d5c9	Milky	89	89	422	103	1990	2011
118	Glow In Dark Trans	bdc6ad	Milky	17	23	331	20	2005	2011
159	Glow In Dark White	d9d9d9	Milky	87	122	824	106	2011	2026
60	Milky White	d4d3dd	Milky	26	146	933	62	1963	2008
101	Glitter Trans-Clear	EEEEEE	Glitter	16	33	232	24	1999	2023
